id,name,fuel,capex,fom,lifetime,discount_rate,heat_rate_base,heat_rate_incr,node,max_build,min_build,initial_capacity,unit_type,scenarios
187,JUNEESF1,solar,0,18.18,0,0,0,0,SNSW,0,0,0.03,solar,
188,LIMOSF11,solar,0,18.18,0,0,0,0,SNSW,0,0,0.22,solar,
189,LIMOSF21,solar,0,18.18,0,0,0,0,SNSW,0,0,0.02899,solar,
190,MANSLR1,solar,0,18.18,0,0,0,0,CNSW,0,0,0.0467,solar,
191,MOLNGSF1,solar,0,18.18,0,0,0,0,CNSW,0,0,0.03601,solar,
192,MOREESF1,solar,0,18.18,0,0,0,0,NNSW,0,0,0.056,solar,
193,NEVERSF1,solar,0,18.18,0,0,0,0,CNSW,0,0,0.10464,solar,
194,NEWENSF1,solar,0,18.18,0,0,0,0,NNSW,0,0,0.4,solar,
195,NYNGAN1,solar,0,18.18,0,0,0,0,CNSW,0,0,0.10202,solar,
196,PARSF1,solar,0,18.18,0,0,0,0,CNSW,0,0,0.0505,solar,
197,SUNRSF1,solar,0,18.18,0,0,0,0,SNSW,0,0,0.19968,solar,
198,SUNTPSF1,solar,0,18.18,0,0,0,0,CNSW,0,0,0.15,solar,
199,WAGGNSF1,solar,0,18.18,0,0,0,0,SNSW,0,0,0.04636,solar,
200,WELLSF1,solar,0,18.18,0,0,0,0,CNSW,0,0,0.16988,solar,
201,WRSF1,solar,0,18.18,0,0,0,0,NNSW,0,0,0.02,solar,
202,WSTWYSF1,solar,0,18.18,0,0,0,0,SNSW,0,0,0.09001,solar,
203,BLUEGSF1,solar,0,18.18,0,0,0,0,SQ,0,0,0.148,solar,
204,CHILDSF1,solar,0,18.18,0,0,0,0,SQ,0,0,0.05587,solar,
205,CLARESF1,solar,0,18.18,0,0,0,0,NQ,0,0,0.09998,solar,
206,CLERMSF1,solar,0,18.18,0,0,0,0,CQ,0,0,0.07499,solar,
207,COLUMSF1,solar,0,18.18,0,0,0,0,SQ,0,0,0.16195,solar,
208,CSPVPS1,solar,0,18.18,0,0,0,0,CQ,0,0,0.0425,solar,
209,DAYDSF1,solar,0,18.18,0,0,0,0,CQ,0,0,0.14999,solar,
210,DDSF1,solar,0,18.18,0,0,0,0,SQ,0,0,0.11,solar,
211,EDENVSF1,solar,0,18.18,0,0,0,0,SQ,0,0,0.146,solar,
212,EMERASF1,solar,0,18.18,0,0,0,0,CQ,0,0,0.072,solar,
213,GANGARR1,solar,0,18.18,0,0,0,0,SQ,0,0,0.11988,solar,
214,HAMISF1,solar,0,18.18,0,0,0,0,CQ,0,0,0.056,solar,
215,HAUGHT11,solar,0,18.18,0,0,0,0,NQ,0,0,0.10003,solar,
216,HAYMSF1,solar,0,18.18,0,0,0,0,CQ,0,0,0.05,solar,
217,HUGSF1,solar,0,18.18,0,0,0,0,NQ,0,0,0.02097,solar,
218,KEPSF1,solar,0,18.18,0,0,0,0,NQ,0,0,0.015,solar,
219,KSP1,solar,0,18.18,0,0,0,0,NQ,0,0,0.0485,solar,
220,LILYSF1,solar,0,18.18,0,0,0,0,CQ,0,0,0.09997,solar,
221,LRSF1,solar,0,18.18,0,0,0,0,CQ,0,0,0.014,solar,
222,MARYRSF1,solar,0,18.18,0,0,0,0,SQ,0,0,0.0273,solar,
223,MIDDLSF1,solar,0,18.18,0,0,0,0,CQ,0,0,0.026,solar,
